Name,Price
算法实例精讲―Python语言实现,68.40
对比Excel，轻松学习Python数据分析(博文视点出品),29.50
Python数学实验与建模,136.10
Python GUI设计PyQt5从入门到实践（全彩版）赠纸质专属魔卡、PPT课件,85.30
零基础入门学习Python（第2版）,75.70
Python数据科学手册(图灵出品),91.30
Python金融大数据分析 第2版(异步图书出品),116.40
Python函数参考手册（全彩版）,60.40
Python核心编程（第3版）(异步图书出品),49.50
Python数据分析从入门到实践（全彩版）赠专属实物魔卡,85.80
Python编程从数据分析到机器学习实践（微课视频版）,95.80
Python 3标准库,154.50
Python数据分析与大数据处理从入门到精通,61.30
Python编程（第4版 套装上下册）,99.00
【包邮】Python编程从入门到实践Python极客项目编程python3数据分析实战网络爬虫基础 全套3册,126.00
Python全能开发三剑客：零基础学Python+实效编程百例+项目开发案例集锦（京东套装共3册）,251.70
算法图解(图灵出品),36.50
Python青少年趣味编程 少儿编程（彩印+微课视频讲解）,67.00
零基础学Python从入门到精通 python编程自学Python基础入门项目实践 赠视频课程 R,39.80
C Primer Plus 第6版 中文版(异步图书出品),85.10
Python编程超级魔卡（全彩版）,26.10
自然语言处理实战 利用Python理解、分析和生成文本(异步图书出品),49.50
Python数据处理(图灵出品),82.90
Django实战 Python Web典型模块与项目开发,54.00
Python编程300例：快速构建可执行高质量代码/清华开发者书库,75.70
Python预测之美：数据分析与算法实战(博文视点出品),59.50
Python项目开发实战入门（全彩版）赠e学版电子书、源码,85.80
深度学习入门 基于Python的理论与实现(图灵出品),46.50
Python项目开发案例集锦（全彩版）赠e学版电子书、源码、项目配置说明书,112.00
笨办法学Python 3(异步图书出品),29.50
【沪江网校】Python全栈开发职业培训工程师【随到随学班】,9971.00
Python Qt GUI与数据可视化编程(异步图书出品),82.90
Python编程 从入门到实践 第2版,64.10
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
Python网络爬虫权威指南 第2版(图灵出品),66.20
数据结构与算法：Python语言实现,91.00
Python数据分析与可视化从入门到精通,61.20
Python趣味案例编程（全彩版）赠e学版电子书、源码、开发流程图,85.80
Python编程从入门到实践(图灵出品) 人民邮电出版社书籍,44.50
用Python实现深度学习框架,74.50
Python股票量化交易从入门到实践(异步图书出品),74.50
Selenium3自动化测试实战DD基于Python语言(博文视点出品),34.50
算法实例精讲―Python语言实现,68.40
Python数据处理,72.30
教孩子学编程：从Scratch图形化编程到Python语言编程（全彩印刷+视频讲解）（套装共3册）,220.20
Python从入门到实践（全彩版）,76.30
Python自动化运维实战(异步图书出品),66.20
Python极简讲义：一本书入门数据分析与机器学习(博文视点出品),64.00
Python数据分析(活用Pandas库)/图灵程序设计丛书,64.50
Python数据分析与挖掘实战（第2版）,52.20
图解Python--轻松快速掌握实力派脚本语言精华,66.40
【正版特价】精通Python网络爬虫：核心技术、框架与项目实战 计算机与|230066,9.90
基于Python的大数据分析基础及实战,68.40
Python在机器学习中的应用,78.20
像计算机科学家一样思考Python 第2版(异步图书出品),24.50
Python编程从零基础到项目实战（微课视频版）,78.20
Python从入门到项目实战（全程视频版）,97.80
基于Python的金融分析与风险管理(异步图书出品),98.80
Python 3网络爬虫开发实战(图灵出品),73.70
笨办法学Python 3 进阶篇(异步图书出品),49.40
正版 Python量化交易 Python量化编程基础 量化投资与Python语言编程教程书籍 pyt,68.30
Python金融数据分析 Python，数据分析，金融，金融数据,53.82
从零开始学Python数据分析（视频教学版）,53.60
【3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 程序设计,139.80
Python数据分析黄金组合：零基础学Python+数据分析+编程百例（京东套装3册）,225.40
自动化测试实战宝典：Robot Framework + Python从小工到专家(博文视点出品),54.50
Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,49.80
Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手(博文视点出品),39.50
思维导图学Python 3.7青少年趣味编程,98.00
Python量化交易(博文视点出品),49.50
Python自动化测试实战,34.90
Python学习手册 原书第5版2册 华章图书 O'Reilly精品图书系列,113.90
Python地理空间分析指南（第2版）(异步图书出品),66.20
Python网络编程（第3版）(图灵出品),66.20
Python机器学习,41.10
Python接口自动化测试(博文视点出品),29.50
Python深度学习,85.70
Python编程 从入门到实践 第2版,64.10
利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列 ,61.90
Python编程终极指南,85.30
深度学习：基于Keras的Python实践(博文视点出品),29.50
Python游戏编程入门(异步图书出品),41.00
Python算法指南：程序员经典算法分析与实现/清华开发者书库,101.20
6册 Python程序设计/零基础python从入门到精通/Python编程从数据分析 编程入门预售,275.30
量化投资四部曲：Python量化交易：策略、技巧与实战/以Python为工具/零起点 大数据与/基础 正版 全四册,284.00
Django企业开发实战 高效Python Web框架指南(图灵出品),82.90
算法之美―Python语言实现 视频+案例+图解,67.00
Effective Python：改善Python程序的90个建议 （第2版）（英文版）(博文视点出品),64.00
Python数据结构与算法分析 第2版(图灵出品),62.40
Python游戏编程快速上手 第4版(异步图书出品),57.80
看漫画学Python：有趣有料好玩好用 全彩版 程序设计书籍由入门到精通简单入门Python编程课程,68.53
Python Cookbook 中文版 第3版,77.80
教孩子学编程系列：教孩子学编程 Python语言版+趣学Python编程 共2本 儿童编程入门教程书,84.00
Python爬虫数据分析黄金组合（京东套装共3册）,238.90
正版Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南python程序设计,69.00
数据结构 Python语言描述(异步图书出品),57.80
Python3爬虫实战――数据清洗、数据分析与可视化,56.80
Python高性能编程(异步图书出品),66.20
Python程序设计 第3版(异步图书出品),57.80
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 图灵程序设计丛书,66.30
【自营】python编程入门指南 Web/Django/Pygame/Flask Web/网络爬虫/可搭C语言/java/HTML/CSS/C#/C++/PHP,57.00
Python计算机视觉编程(图灵出品),57.80
正版 Python程序设计 第三3版 Python之父作序 Python3自学教程书 零基础学程序,48.30
谁说菜鸟不会数据分析（Python篇）(博文视点出品),34.50
虫术――Python绝技(博文视点出品),49.50
Python数据分析入门DD从数据获取到可视化(博文视点出品),29.50
Python生物信息学数据管理,57.80
Python编程从入门到实践 python基础教程 零基础学Python3编程从入门到实践 ,54.50
包邮 Python科学计算和数据科学应用(第2版)  使用NumPy、SciPy和matplotli,153.00
Head First Python（第二版）,64.00
Python算法教程(异步图书出品),34.50
O'Reilly：Python学习手册（第4版）,83.30
Python高效开发实战：Django、Tornado、Flask、Twisted,44.50
一步到位！Python从基础编程到数据分析,88.00
Python股票量化交易从入门到实践,66.60
【自营】C++编程入门指南 Visual C++计算机程序员软件开发教材/可搭C语言/python/HTML/CSS/C#/PHP/Java,57.00
Python趣味编程入门,41.00
2册零基础Python+Java从入门到精通基础教程基础核心进阶实战编程书籍 R,69.80
Python高级编程 第2版(异步图书出品),74.50
Python高手修炼之道：数据处理与机器学习实战,39.50
Name,Price
算法实例精讲―Python语言实现,68.40
对比Excel，轻松学习Python数据分析(博文视点出品),29.50
Python数学实验与建模,136.10
Python GUI设计PyQt5从入门到实践（全彩版）赠纸质专属魔卡、PPT课件,85.30
零基础入门学习Python（第2版）,75.70
Python数据科学手册(图灵出品),91.30
Python金融大数据分析 第2版(异步图书出品),116.40
Python函数参考手册（全彩版）,60.40
Python核心编程（第3版）(异步图书出品),49.50
Python数据分析从入门到实践（全彩版）赠专属实物魔卡,85.80
Python编程从数据分析到机器学习实践（微课视频版）,95.80
Python 3标准库,154.50
Python数据分析与大数据处理从入门到精通,61.30
Python编程（第4版 套装上下册）,99.00
【包邮】Python编程从入门到实践Python极客项目编程python3数据分析实战网络爬虫基础 全套3册,126.00
Python全能开发三剑客：零基础学Python+实效编程百例+项目开发案例集锦（京东套装共3册）,251.70
算法图解(图灵出品),36.50
Python青少年趣味编程 少儿编程（彩印+微课视频讲解）,67.00
零基础学Python从入门到精通 python编程自学Python基础入门项目实践 赠视频课程 R,39.80
C Primer Plus 第6版 中文版(异步图书出品),85.10
Python编程超级魔卡（全彩版）,26.10
自然语言处理实战 利用Python理解、分析和生成文本(异步图书出品),49.50
Python数据处理(图灵出品),82.90
Django实战 Python Web典型模块与项目开发,54.00
Python编程300例：快速构建可执行高质量代码/清华开发者书库,75.70
Python预测之美：数据分析与算法实战(博文视点出品),59.50
Python项目开发实战入门（全彩版）赠e学版电子书、源码,85.80
深度学习入门 基于Python的理论与实现(图灵出品),46.50
Python项目开发案例集锦（全彩版）赠e学版电子书、源码、项目配置说明书,112.00
笨办法学Python 3(异步图书出品),29.50
【沪江网校】Python全栈开发职业培训工程师【随到随学班】,9971.00
Python Qt GUI与数据可视化编程(异步图书出品),82.90
Python编程 从入门到实践 第2版,64.10
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
Python网络爬虫权威指南 第2版(图灵出品),66.20
数据结构与算法：Python语言实现,91.00
Python数据分析与可视化从入门到精通,61.20
Python趣味案例编程（全彩版）赠e学版电子书、源码、开发流程图,85.80
Python编程从入门到实践(图灵出品) 人民邮电出版社书籍,44.50
用Python实现深度学习框架,74.50
Python股票量化交易从入门到实践(异步图书出品),74.50
Selenium3自动化测试实战DD基于Python语言(博文视点出品),34.50
算法实例精讲―Python语言实现,68.40
Python数据处理,72.30
教孩子学编程：从Scratch图形化编程到Python语言编程（全彩印刷+视频讲解）（套装共3册）,220.20
Python从入门到实践（全彩版）,76.30
Python自动化运维实战(异步图书出品),66.20
Python极简讲义：一本书入门数据分析与机器学习(博文视点出品),64.00
Python数据分析(活用Pandas库)/图灵程序设计丛书,64.50
Python数据分析与挖掘实战（第2版）,52.20
图解Python--轻松快速掌握实力派脚本语言精华,66.40
【正版特价】精通Python网络爬虫：核心技术、框架与项目实战 计算机与|230066,9.90
基于Python的大数据分析基础及实战,68.40
Python在机器学习中的应用,78.20
像计算机科学家一样思考Python 第2版(异步图书出品),24.50
Python编程从零基础到项目实战（微课视频版）,78.20
Python从入门到项目实战（全程视频版）,97.80
基于Python的金融分析与风险管理(异步图书出品),98.80
Python 3网络爬虫开发实战(图灵出品),73.70
笨办法学Python 3 进阶篇(异步图书出品),49.40
正版 Python量化交易 Python量化编程基础 量化投资与Python语言编程教程书籍 pyt,68.30
Python金融数据分析 Python，数据分析，金融，金融数据,53.82
从零开始学Python数据分析（视频教学版）,53.60
【3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 程序设计,139.80
Python数据分析黄金组合：零基础学Python+数据分析+编程百例（京东套装3册）,225.40
自动化测试实战宝典：Robot Framework + Python从小工到专家(博文视点出品),54.50
Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,49.80
Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手(博文视点出品),39.50
思维导图学Python 3.7青少年趣味编程,98.00
Python量化交易(博文视点出品),49.50
Python自动化测试实战,34.90
Python学习手册 原书第5版2册 华章图书 O'Reilly精品图书系列,113.90
Python地理空间分析指南（第2版）(异步图书出品),66.20
Python网络编程（第3版）(图灵出品),66.20
Python机器学习,41.10
Python接口自动化测试(博文视点出品),29.50
Python深度学习,85.70
Python编程 从入门到实践 第2版,64.10
利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列 ,61.90
Python编程终极指南,85.30
深度学习：基于Keras的Python实践(博文视点出品),29.50
Python游戏编程入门(异步图书出品),41.00
Python算法指南：程序员经典算法分析与实现/清华开发者书库,101.20
6册 Python程序设计/零基础python从入门到精通/Python编程从数据分析 编程入门预售,275.30
量化投资四部曲：Python量化交易：策略、技巧与实战/以Python为工具/零起点 大数据与/基础 正版 全四册,284.00
Django企业开发实战 高效Python Web框架指南(图灵出品),82.90
算法之美―Python语言实现 视频+案例+图解,67.00
Effective Python：改善Python程序的90个建议 （第2版）（英文版）(博文视点出品),64.00
Python数据结构与算法分析 第2版(图灵出品),62.40
Python游戏编程快速上手 第4版(异步图书出品),57.80
看漫画学Python：有趣有料好玩好用 全彩版 程序设计书籍由入门到精通简单入门Python编程课程,68.53
Python Cookbook 中文版 第3版,77.80
教孩子学编程系列：教孩子学编程 Python语言版+趣学Python编程 共2本 儿童编程入门教程书,84.00
Python爬虫数据分析黄金组合（京东套装共3册）,238.90
正版Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南python程序设计,69.00
数据结构 Python语言描述(异步图书出品),57.80
Python3爬虫实战――数据清洗、数据分析与可视化,56.80
Python高性能编程(异步图书出品),66.20
Python程序设计 第3版(异步图书出品),57.80
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 图灵程序设计丛书,66.30
【自营】python编程入门指南 Web/Django/Pygame/Flask Web/网络爬虫/可搭C语言/java/HTML/CSS/C#/C++/PHP,57.00
Python计算机视觉编程(图灵出品),57.80
正版 Python程序设计 第三3版 Python之父作序 Python3自学教程书 零基础学程序,48.30
谁说菜鸟不会数据分析（Python篇）(博文视点出品),34.50
虫术――Python绝技(博文视点出品),49.50
Python数据分析入门DD从数据获取到可视化(博文视点出品),29.50
Python生物信息学数据管理,57.80
Python编程从入门到实践 python基础教程 零基础学Python3编程从入门到实践 ,54.50
包邮 Python科学计算和数据科学应用(第2版)  使用NumPy、SciPy和matplotli,153.00
Head First Python（第二版）,64.00
Python算法教程(异步图书出品),34.50
O'Reilly：Python学习手册（第4版）,83.30
Python高效开发实战：Django、Tornado、Flask、Twisted,44.50
一步到位！Python从基础编程到数据分析,88.00
Python股票量化交易从入门到实践,66.60
【自营】C++编程入门指南 Visual C++计算机程序员软件开发教材/可搭C语言/python/HTML/CSS/C#/PHP/Java,57.00
Python趣味编程入门,41.00
2册零基础Python+Java从入门到精通基础教程基础核心进阶实战编程书籍 R,69.80
Python高级编程 第2版(异步图书出品),74.50
Python高手修炼之道：数据处理与机器学习实战,39.50
正版 PYTHON程序设计（第3版微课版） 董付国 清华大学出版社 9787302550839,54.50
Python 黑帽子：黑客与渗透测试编程之道(博文视点出品),27.50
【现货包邮】Python语言程序设计基础 第2版 嵩天 第二版 教育部大学计算机课程改革项目规划教材,32.80
自然语言处理入门 Python/Java双代码实现(图灵出品),82.90
Python科学计算(第2版)（附光盘）,100.30
跟我一起玩Python编程(共2册):教孩子快速掌握编程技巧,79.20
正版 PYTHON程序设计（第3版微课版） 董付国 清华大学出版社 9787302550839,54.50
Python在机器学习中的应用python从入门到精通基于python的大数据分析基础及实践编程入门,114.70
PYTHON数据结构与算法分析 第2版,58.50
Effective Python：编写高质量Python代码的59个有效方法,45.80
教孩子学编程 Python语言版(异步图书出品),49.40
跟老齐学Python：Django实战(博文视点出品),34.50
流畅的Python/图灵程序设计丛书,99.30
2020新版 Python编程从入门到实践第二版第2版python数据分析网络爬虫开发实战编程入门书,58.50
Python数据可视化之美：专业图表绘制指南（全彩）(博文视点出品),65.00
对比Excel，轻松学习Python数据分析 ,44.30
Python自然语言处理(异步图书出品),74.50
数据结构与算法：Python语言实现,76.30
正版 父与子的编程之旅：与小卡特一起学PYTHON（第3版）（美）沃伦・桑德 人民邮电 青少年Py,91.40
Python核心编程第3版Python核心编程第三版+Python编程快速上手 入门基础知识,180.00
5本 深度学习 深度学习入门 Python编程基础 神经网络编程 TensorFlow 人工智能书籍,326.00
Python入门三剑客：零基础编程+数据分析+机器学习（京东套装3册）,224.80
利用Python进行数据分析（原书第2版）,79.00
Python3反爬虫原理与绕过实战+python3网络爬虫开发实战+Python网络爬虫权*指南,205.80
正版 JUPYTER NOTEBOOK数据分析入门与实战 （日）池内孝启 Python学习利器 数,77.20
Python与量化投资 从基础到实战 王小川 Python量化投资策略分析技术工具 金融数据分,77.22
流畅的Python,100.10
编程猫中国孩子的编程学习读本：玩着也能学编程+玩着也能学Python（套装共2册）,174.20
包邮 Python 从入门到精通系列,310.00
青少年学Python(异步图书出品),66.20
